id,docId,displayName,starRating,helpfulCount,madeIt,created_iso,profileUrl,review_text
57953218,7485747,Tammy,5,0,0,1754137338663,https://www.allrecipes.com/cook/86b71b1e4937d1ae,"<p>This was so great. We used keto tortillas to keep it low carb.  We made it in an iron skillet since I don’t have a griddle. Perfect. Thanks for sharing!&amp;[A keeper!,Great flavors,Easy to follow,Crowd-pleaser]</p>"
57862786,7485747,Stephani,5,0,0,1753406553111,https://www.allrecipes.com/cook/44ffc7bf378f8985,<p>Delicious.  Made exactly as written. Don’t think nothing needs to be changed.&amp;[A keeper!]</p>
50255382,7485747,HonestThyme1922,5,0,0,1728954779861,https://www.allrecipes.com/cook/be781f23ede9352f,<p>Easy to make! The family loves it!&amp;[A keeper!]</p>
49654683,7485747,sue a warner,5,0,0,1724152578235,https://www.allrecipes.com/cook/13382209,"<p>I tweaked recipe to keto- friendly, use Zero carb tortilla shells. They browned as nicely as regular ones. Awesome recipe!&amp;[Easy to follow]</p>"
49365105,7485747,The Maker of Dinner,5,0,0,1721925474392,https://www.allrecipes.com/cook/2429190,<p>This was delicious! I followed the recipe exactly.  I was worried the meat would not cook. The meat cooked all the way through. The was a perfect match for this burger.</p>
48964513,7485747,Doug,4,1,0,1719434546663,https://www.allrecipes.com/cook/14244723,"<p>Pretty tasty as written, would have given 5 stars if you would have used granulated garlic together with the salt &amp; pepper, and corn tortillas, so much better.</p>"
48838420,7485747,fabeveryday,5,0,0,1718586234946,https://www.allrecipes.com/cook/fabeveryday,"<p>My family is already asking for me to make this again! Wowie, was this delicious! I didn’t feel like firing up the grill so I made them two at a time in an enameled cast iron skillet. I also added a little garlic powder and onion powder to the patty per one of the other reviewers’ recommendations.</p>"
48353267,7485747,MLVZ,5,0,0,1715296734934,https://www.allrecipes.com/cook/16507749,<p>Added garlic and onion salt to the ground beef  Left out the hot sauce and added some horse radish to the sauce&amp;[A keeper!]</p>
47555426,7485747,ProudZiti7338,5,4,0,1708995808432,https://www.allrecipes.com/cook/1402a13eb1b8113c,"<p>These r absolutely DELICIOUS!! I don't have a griddle so I cooked them in a cast iron skillet and added crumbled bacon with the same toppings called for in the recipe. They were awesome!! Will definitely b making them again. Even my extremely picky boyfriend loved them. Win win!!&amp;[Easy to follow,Worth the effort,Great flavors,A keeper!]</p>"
47431375,7485747,BrightSoy6697,5,0,0,1708281954676,https://www.allrecipes.com/cook/57ebd4932e44bb93,<p>Delicious!</p>
